,file,run,types,prevs,n_dropped,outcome,total_time,max_time,median_time,n_runs
0,../Translators/input-files/case-studies/modified-specs/minepump/genuine/minepump_fixed1.spectra,0,['A'],False,1,SimEnv.Success,26.21003293991089,3.6032607555389404,3.217195987701416,8
1,../Translators/input-files/case-studies/modified-specs/minepump/genuine/minepump_fixed1.spectra,0,"['A,G']",False,1,SimEnv.Success,10.355180978775024,3.508754253387451,3.4265875816345215,3
2,../Translators/input-files/examples/Traffic/traffic_single_FINAL.spectra,0,['A'],False,2,SimEnv.Realizable,89.382639169693,10.643099069595337,9.765412092208862,10
3,../Translators/input-files/examples/Traffic/traffic_single_FINAL.spectra,1,['A'],False,2,SimEnv.Realizable,92.53870034217834,9.94432020187378,9.786909580230713,10
4,../Translators/input-files/examples/Traffic/traffic_single_FINAL.spectra,2,['A'],False,2,SimEnv.Success,44.02441930770874,5.107192277908325,4.8574700355529785,9
5,../Translators/input-files/examples/Traffic/traffic_single_FINAL.spectra,3,['A'],False,1,SimEnv.Invalid,0.0,0.0,0.0,0
6,../Translators/input-files/examples/Traffic/traffic_single_FINAL.spectra,4,['A'],False,2,SimEnv.Success,9.466861963272095,9.466861963272095,9.466861963272095,1
7,../Translators/input-files/examples/Traffic/traffic_single_FINAL.spectra,5,['A'],False,1,SimEnv.Success,23.957426071166992,4.892166376113892,4.754504442214966,5
8,../Translators/input-files/examples/Traffic/traffic_single_FINAL.spectra,6,['A'],False,1,SimEnv.Realizable,49.00725317001343,5.054062128067017,4.93865442276001,10
9,../Translators/input-files/examples/Traffic/traffic_single_FINAL.spectra,7,['A'],False,2,SimEnv.Realizable,84.57928943634033,10.256603002548218,9.841463565826416,10
10,../Translators/input-files/examples/Traffic/traffic_single_FINAL.spectra,8,['A'],False,2,SimEnv.Realizable,51.9853196144104,5.4176342487335205,5.236460566520691,10
11,../Translators/input-files/examples/Traffic/traffic_single_FINAL.spectra,9,['A'],False,2,SimEnv.Success,5.304085969924927,5.304085969924927,5.304085969924927,1
12,../Translators/input-files/examples/Traffic/traffic_single_FINAL.spectra,0,"['A,G']",False,5,SimEnv.Realizable,54.649460792541504,5.703564405441284,5.460898280143738,10
13,../Translators/input-files/examples/Traffic/traffic_single_FINAL.spectra,1,"['A,G']",False,5,SimEnv.Realizable,62.85064935684204,6.465530633926392,6.311548829078674,10
14,../Translators/input-files/examples/Traffic/traffic_single_FINAL.spectra,2,"['A,G']",False,5,SimEnv.Success,16.42594337463379,5.483092546463013,5.474508762359619,3
15,../Translators/input-files/examples/Traffic/traffic_single_FINAL.spectra,3,"['A,G']",False,1,SimEnv.Invalid,0.0,0.0,0.0,0
16,../Translators/input-files/examples/Traffic/traffic_single_FINAL.spectra,4,"['A,G']",False,1,SimEnv.Success,10.77022910118103,10.77022910118103,10.77022910118103,1
17,../Translators/input-files/examples/Traffic/traffic_single_FINAL.spectra,5,"['A,G']",False,2,SimEnv.Realizable,99.92970705032349,12.964135885238647,12.33041787147522,10
18,../Translators/input-files/examples/Traffic/traffic_single_FINAL.spectra,6,"['A,G']",False,4,SimEnv.Realizable,56.16007733345032,5.841670751571655,5.578309774398804,10
19,../Translators/input-files/examples/Traffic/traffic_single_FINAL.spectra,7,"['A,G']",False,1,SimEnv.Success,33.10759663581848,5.6086976528167725,5.514440178871155,6
20,../Translators/input-files/examples/Traffic/traffic_single_FINAL.spectra,8,"['A,G']",False,2,SimEnv.Realizable,55.47107934951782,5.7232959270477295,5.522831201553345,10
21,../Translators/input-files/examples/Traffic/traffic_single_FINAL.spectra,9,"['A,G']",False,5,SimEnv.Realizable,57.435890913009644,6.1424384117126465,5.697655081748962,10
