,file,run,types,n_dropped,outcome,total_time,max_time,median_time,n_runs
0,../Translators/input-files/examples/lift_FINAL.spectra,0,['A'],3,SimEnv.Success,26.576090574264526,26.576090574264526,26.576090574264526,1
1,../Translators/input-files/examples/lift_FINAL.spectra,1,['A'],3,SimEnv.Success,142.9574999809265,142.9574999809265,142.9574999809265,1
2,../Translators/input-files/examples/lift_FINAL.spectra,2,['A'],3,SimEnv.Success,21.00252914428711,21.00252914428711,21.00252914428711,1
3,../Translators/input-files/examples/lift_FINAL.spectra,3,['A'],1,SimEnv.Unrealizable,78.82728791236877,78.82728791236877,78.82728791236877,1
4,../Translators/input-files/examples/lift_FINAL.spectra,4,['A'],6,SimEnv.Success,23.499030351638794,23.499030351638794,23.499030351638794,1
5,../Translators/input-files/examples/lift_FINAL.spectra,0,"['A,G']",1,SimEnv.Success,17.412741661071777,17.412741661071777,17.412741661071777,1
6,../Translators/input-files/examples/lift_FINAL.spectra,1,"['A,G']",3,SimEnv.Success,18.897987127304077,18.897987127304077,18.897987127304077,1
7,../Translators/input-files/examples/lift_FINAL.spectra,2,"['A,G']",2,SimEnv.Success,17.571249961853027,17.571249961853027,17.571249961853027,1
8,../Translators/input-files/examples/lift_FINAL.spectra,3,"['A,G']",1,SimEnv.Unrealizable,88.77975869178772,88.77975869178772,88.77975869178772,1
9,../Translators/input-files/examples/lift_FINAL.spectra,4,"['A,G']",1,SimEnv.Success,19.282297134399414,19.282297134399414,19.282297134399414,1
10,../Translators/input-files/case-studies/modified-specs/minepump/genuine/minepump_fixed1.spectra,0,['A'],1,SimEnv.Timeout,33.95029377937317,3.613570213317871,3.37764835357666,10
11,../Translators/input-files/case-studies/modified-specs/minepump/genuine/minepump_fixed1.spectra,1,['A'],1,SimEnv.Timeout,33.407808780670166,3.475714921951294,3.3303879499435425,10
12,../Translators/input-files/case-studies/modified-specs/minepump/genuine/minepump_fixed1.spectra,2,['A'],1,SimEnv.Timeout,33.48101806640625,3.4152488708496094,3.335317850112915,10
13,../Translators/input-files/case-studies/modified-specs/minepump/genuine/minepump_fixed1.spectra,3,['A'],1,SimEnv.Timeout,33.6587290763855,3.565016984939575,3.3587034940719604,10
14,../Translators/input-files/case-studies/modified-specs/minepump/genuine/minepump_fixed1.spectra,4,['A'],1,SimEnv.Timeout,33.99612092971802,3.632401704788208,3.3735220432281494,10
15,../Translators/input-files/case-studies/modified-specs/minepump/genuine/minepump_fixed1.spectra,0,"['A,G']",3,SimEnv.Unrealizable,1.3193674087524414,1.3193674087524414,1.3193674087524414,1
16,../Translators/input-files/case-studies/modified-specs/minepump/genuine/minepump_fixed1.spectra,1,"['A,G']",3,SimEnv.Unrealizable,1.178330898284912,1.178330898284912,1.178330898284912,1
17,../Translators/input-files/case-studies/modified-specs/minepump/genuine/minepump_fixed1.spectra,2,"['A,G']",1,SimEnv.Timeout,33.52987504005432,3.575023889541626,3.33414626121521,10
18,../Translators/input-files/case-studies/modified-specs/minepump/genuine/minepump_fixed1.spectra,3,"['A,G']",1,SimEnv.Timeout,33.53953194618225,3.551525115966797,3.3420504331588745,10
19,../Translators/input-files/case-studies/modified-specs/minepump/genuine/minepump_fixed1.spectra,4,"['A,G']",1,SimEnv.Timeout,33.569169759750366,3.438204765319824,3.375327467918396,10
